         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:433(find_libsql)
        1    0.000    0.000    0.002    0.002 __init__.py:445(load)
        2    0.000    0.000    0.000    0.000 __init__.py:447(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:46(Symbol)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:514(usesTime)
       15    0.000    0.000    0.000    0.000 __init__.py:520(formatMessage)
       15    0.000    0.000    0.000    0.000 __init__.py:536(format)
        1    0.000    0.000    0.000    0.000 __init__.py:549(Row)
       16    0.000    0.000    0.000    0.000 __init__.py:560(from_sequence)
       19    0.000    0.000    0.000    0.000 __init__.py:566(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:573(BufferingFormatter)
        1    0.025    0.025    0.368    0.368 __init__.py:58(<module>)
        3    0.006    0.002    0.127    0.042 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(file_generator)
        1    0.000    0.000    0.000    0.000 __init__.py:615(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:652(Filterer)
       12    0.000    0.000    0.000    0.000 __init__.py:657(__init__)
       30    0.000    0.000    0.000    0.000 __init__.py:677(filter)
        3    0.000    0.000    0.016    0.005 __init__.py:69(search_function)
        7    0.000    0.000    0.000    0.000 __init__.py:722(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:732(Handler)
        7    0.000    0.000    0.000    0.000 __init__.py:741(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       15    0.000    0.000    0.000    0.000 __init__.py:76(<lambda>)
        3    0.000    0.000    0.000    0.000 __init__.py:770(createLock)
       15    0.000    0.000    0.000    0.000 __init__.py:779(acquire)
       42    0.000    0.000    0.000    0.000 __init__.py:78(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:786(release)
       15    0.000    0.000    0.000    0.000 __init__.py:799(format)
       15    0.000    0.000    0.003    0.000 __init__.py:822(handle)
        2    0.000    0.000    0.000    0.000 __init__.py:840(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:896(StreamHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:905(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:91(<genexpr>)
       15    0.000    0.000    0.000    0.000 __init__.py:916(flush)
       15    0.000    0.000    0.002    0.000 __init__.py:923(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:945(FileHandler)
        3    0.000    0.000    0.006    0.002 __init__.py:96(load)
        1    0.000    0.000    0.000    0.000 __init__.py:97(_TimeoutMonitor)
        9    0.000    0.000    0.000    0.000 __init__.py:98(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:99(__init__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:146(__subclasshook__)
       46    0.000    0.000    0.000    0.000 _abcoll.py:357(get)
      115    0.000    0.000    0.000    0.000 _abcoll.py:363(__contains__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:493(update)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:80(<genexpr>)
       11    0.000    0.000    0.000    0.000 _compat_pickle.py:81(<genexpr>)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:104(check_app_config_brackets)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:119(check_static_paths)
        2    0.000    0.000    0.000    0.000 _cpchecker.py:187(_compat)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:208(check_compatibility)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:221(_known_ns)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:254(check_config_namespaces)
        1    0.000    0.000    0.001    0.001 _cpchecker.py:26(__init__)
        1    0.000    0.000    0.001    0.001 _cpchecker.py:268(_populate_known_types)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:269(<listcomp>)
        5    0.001    0.000    0.001    0.000 _cpchecker.py:272(traverse)
        2    0.000    0.000    0.000    0.000 _cpchecker.py:287(_known_types)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:29(__call__)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:309(check_config_types)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:320(check_localhost)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:43(formatwarning)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:50(check_app_config_entries_dont_start_with_script_name)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:67(check_site_config_entries_in_app_config)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:8(Checker)
        1    0.000    0.000    0.000    0.000 _cpchecker.py:88(check_skipped_app_config)
        1    0.033    0.033    0.232    0.232 _cpcompat.py:17(<module>)
        2    0.000    0.000    0.000    0.000 _cpcompat.py:170(<lambda>)
        4    0.000    0.000    0.000    0.000 _cpcompat.py:181(<lambda>)
        2    0.000    0.000    0.000    0.000 _cpcompat.py:234(get_daemon)
        1    0.000    0.000    0.000    0.000 _cpcompat.py:246(HTTPDate)
        2    0.000    0.000    0.000    0.000 _cpcompat.py:32(ntou)
        1    0.000    0.000    0.000    0.000 _cpconfig.py:119(<module>)
        1    0.000    0.000    0.000    0.000 _cpconfig.py:148(Config)
        1    0.002    0.002    0.010    0.010 _cpdispatch.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _cpdispatch.py:182(LateParamPageHandler)
        3    0.000    0.000    0.000    0.000 _cpdispatch.py:214(validate_translator)
        1    0.000    0.000    0.000    0.000 _cpdispatch.py:218(Dispatcher)
        3    0.000    0.000    0.000    0.000 _cpdispatch.py:238(__init__)
        1    0.000    0.000    0.000    0.000 _cpdispatch.py:24(PageHandler)
        1    0.000    0.000    0.000    0.000 _cpdispatch.py:409(MethodDispatcher)
        1    0.000    0.000    0.000    0.000 _cpdispatch.py:452(RoutesDispatcher)
        1    0.007    0.007    0.023    0.023 _cperror.py:105(<module>)
        1    0.000    0.000    0.000    0.000 _cperror.py:114(CherryPyException)
        1    0.000    0.000    0.000    0.000 _cperror.py:119(TimeoutError)
        1    0.000    0.000    0.000    0.000 _cperror.py:124(InternalRedirect)
        1    0.000    0.000    0.000    0.000 _cperror.py:154(HTTPRedirect)
        1    0.000    0.000    0.000    0.000 _cperror.py:313(HTTPError)
        1    0.000    0.000    0.000    0.000 _cperror.py:339(__init__)
        1    0.000    0.000    0.000    0.000 _cperror.py:389(NotFound)
        1    0.000    0.000    0.000    0.000 _cplogging.py:100(<module>)
        1    0.000    0.000    0.000    0.000 _cplogging.py:115(NullHandler)
       15    0.000    0.000    0.000    0.000 _cplogging.py:118(handle)
        4    0.000    0.000    0.000    0.000 _cplogging.py:124(createLock)
        1    0.000    0.000    0.000    0.000 _cplogging.py:128(LogManager)
        2    0.000    0.000    0.000    0.000 _cplogging.py:162(__init__)
       15    0.000    0.000    0.005    0.000 _cplogging.py:190(error)
       15    0.000    0.000    0.000    0.000 _cplogging.py:284(time)
        8    0.000    0.000    0.000    0.000 _cplogging.py:293(_get_builtin_handler)
        2    0.000    0.000    0.000    0.000 _cplogging.py:301(_set_screen_handler)
        1    0.000    0.000    0.000    0.000 _cplogging.py:314(_get_screen)
        1    0.000    0.000    0.000    0.000 _cplogging.py:319(_set_screen)
        2    0.000    0.000    0.000    0.000 _cplogging.py:337(_set_file_handler)
        1    0.000    0.000    0.000    0.000 _cplogging.py:352(_get_error_file)
        1    0.000    0.000    0.000    0.000 _cplogging.py:357(_set_error_file)
        1    0.000    0.000    0.000    0.000 _cplogging.py:366(_get_access_file)
        1    0.000    0.000    0.000    0.000 _cplogging.py:371(_set_access_file)
        1    0.000    0.000    0.000    0.000 _cplogging.py:393(_get_wsgi)
